hub,library,Term,Adjusted P-value,P-value,Combined Score,Odds Ratio,Genes
LF5,GO_Biological_Process_2023,Regulation Of Epinephrine Secretion (GO:0014060),0.0691298025239324,0.0044922927083929,1588.072397289777,293.79411764705884,ADRA2B
LF5,GO_Biological_Process_2023,Plus-End-Directed Organelle Transport Along Microtubule (GO:0072386),0.0691298025239324,0.0044922927083929,1588.072397289777,293.79411764705884,MAPT
LF5,GO_Biological_Process_2023,Axo-Dendritic Transport (GO:0008088),0.0691298025239324,0.0044922927083929,1588.072397289777,293.79411764705884,MAPT
LF5,GO_Biological_Process_2023,Negative Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903748),0.0691298025239324,0.0053884659389882,1227.644124299904,235.0235294117647,MAPT
LF5,GO_Biological_Process_2023,Positive Regulation Of Mitophagy (GO:1901526),0.0691298025239324,0.0053884659389882,1227.644124299904,235.0235294117647,SLC25A5
LF5,GO_Biological_Process_2023,Negative Regulation Of Catecholamine Secretion (GO:0033604),0.0691298025239324,0.0053884659389882,1227.644124299904,235.0235294117647,ADRA2B
LF6,MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.004317163216154,0.0007195272026923491,145.36282995258424,20.086294416243653,COL12A1;ADAM12;TNC
LF6,MSigDB_Hallmark_2020,Androgen Response,0.1655503660358053,0.0863099571505927,28.942114306609312,11.81402257872846,GUCY1A1
LF6,MSigDB_Hallmark_2020,Myogenesis,0.1655503660358053,0.1655503660358053,10.51709310132786,5.847768253029855,ADAM12
LF6,MSigDB_Hallmark_2020,KRAS Signaling Up,0.1655503660358053,0.1655503660358053,10.51709310132786,5.847768253029855,GUCY1A1
LF6,MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.1655503660358053,0.1655503660358053,10.51709310132786,5.847768253029855,TNC
LF6,MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.1655503660358053,0.1655503660358053,10.51709310132786,5.847768253029855,SLC25A5
LF6,KEGG_2021_Human,cGMP-PKG signaling pathway,0.216759451718227,0.0097125942410483,69.57466248099944,15.012878787878789,GUCY1A1;SLC25A5
LF6,KEGG_2021_Human,Mucin type O-glycan biosynthesis,0.216759451718227,0.0319221763964905,115.4731604004656,33.52436974789916,GALNT5
LF6,KEGG_2021_Human,PI3K-Akt signaling pathway,0.216759451718227,0.0396563213097499,22.49855166852595,6.970880681818182,TNC;PIK3AP1
LF6,KEGG_2021_Human,Other types of O-glycan biosynthesis,0.216759451718227,0.0414826184608072,81.1329113370927,25.493606138107417,GALNT5
LF6,KEGG_2021_Human,Long-term depression,0.216759451718227,0.0526663616642541,58.47347515993359,19.863409770687937,GUCY1A1
LF6,KEGG_2021_Human,Renin secretion,0.216759451718227,0.0603366373648496,48.3692416453001,17.226643598615915,GUCY1A1
LF6,KEGG_2021_Human,Synaptic vesicle cycle,0.216759451718227,0.0679482341709108,40.88978353793229,15.206264323911382,UNC13A
LF6,KEGG_2021_Human,B cell receptor signaling pathway,0.216759451718227,0.070472466450265,38.81670264132201,14.633823529411766,PIK3AP1
LF6,GO_Biological_Process_2023,Neuromuscular Junction Development (GO:0007528),0.0246242598745028,0.00020868016842799032,961.10890422201,113.4090909090909,UNC13A;TNC
LF6,GO_Biological_Process_2023,Regulation Of Defense Response (GO:0031347),0.0512927257509762,0.0033861600986826,148.84003110829175,26.167105263157893,TNC;PIK3AP1
LF6,GO_Biological_Process_2023,Toll-Like Receptor 9 Signaling Pathway (GO:0034162),0.0512927257509762,0.0044922927083929,1588.072397289777,293.79411764705884,PIK3AP1
LF6,GO_Biological_Process_2023,Plasma Membrane Raft Organization (GO:0044857),0.0512927257509762,0.0044922927083929,1588.072397289777,293.79411764705884,COLEC12
LF6,GO_Biological_Process_2023,Synaptic Vesicle Docking (GO:0016081),0.0512927257509762,0.0053884659389882,1227.644124299904,235.0235294117647,UNC13A
LF6,GO_Biological_Process_2023,Positive Regulation Of Mitophagy (GO:1901526),0.0512927257509762,0.0053884659389882,1227.644124299904,235.0235294117647,SLC25A5
LF6,GO_Biological_Process_2023,Regulation Of Response To External Stimulus (GO:0032101),0.0512927257509762,0.0057267941672394,102.51373602728556,19.857,TNC;PIK3AP1
