module,feature,loading,abs_loading,rank_abs
rna_module_006,CFAP36,-0.016156930141879303,0.016156930141879303,20
rna_module_006,SPATA16,-0.016146801889479055,0.016146801889479055,21
rna_module_006,RNVU1-26,-0.016050851703631453,0.016050851703631453,22
rna_module_006,CLPTM1,0.016050665348919347,0.016050665348919347,23
rna_module_006,IL13RA2,-0.016024304297914467,0.016024304297914467,24
rna_module_006,MEGF8,0.01596359064911017,0.01596359064911017,25
rna_module_007,CCNDBP1,0.019448930989582374,0.019448930989582374,1
rna_module_007,PTPRVP,0.01761357516397113,0.01761357516397113,2
rna_module_007,AL139260,0.01718908142595713,0.01718908142595713,3
rna_module_007,CASC20,-0.017171435013132,0.017171435013132,4
rna_module_007,AL358134,0.016858211626066596,0.016858211626066596,5
rna_module_007,AC244102,-0.01683934790591578,0.01683934790591578,6
rna_module_007,AL442644,0.016837869966559123,0.016837869966559123,7
rna_module_007,KCNQ4,0.016766449717317177,0.016766449717317177,8
rna_module_007,LINC01243,0.01675354229288111,0.01675354229288111,9
rna_module_007,DPH6-DT,0.01672702428850827,0.01672702428850827,10
rna_module_007,THUMPD3P1,-0.01667208467793736,0.01667208467793736,11
rna_module_007,AL358473,-0.016633795050364306,0.016633795050364306,12
rna_module_007,WNT8A,0.01660644912592957,0.01660644912592957,13
rna_module_007,ARHGAP23P1,0.0165385695662162,0.0165385695662162,14
rna_module_007,HCG22,0.016481333214221537,0.016481333214221537,15
rna_module_007,AMPD2,0.016407592833197416,0.016407592833197416,16
rna_module_007,AP000221,0.016394501694427643,0.016394501694427643,17
rna_module_007,DPP10,-0.01639051994577886,0.01639051994577886,18
rna_module_007,PPIAP26,0.016374693475930593,0.016374693475930593,19
rna_module_007,CADM4,-0.016336882722405365,0.016336882722405365,20
rna_module_007,AL359706,0.016317140007020326,0.016317140007020326,21
rna_module_007,AC107373,-0.016311594482401628,0.016311594482401628,22
rna_module_007,IGSF23,-0.01628888647290972,0.01628888647290972,23
rna_module_007,CRTAP,0.016288391497573655,0.016288391497573655,24
rna_module_007,AL627316,-0.016279814280637735,0.016279814280637735,25
rna_module_008,MANEAL,0.018681037161338877,0.018681037161338877,1
rna_module_008,UNC13A,0.018636427866444292,0.018636427866444292,2
rna_module_008,AC008761,0.01819113965074873,0.01819113965074873,3
rna_module_008,AL031658,0.017537049155918024,0.017537049155918024,4
rna_module_008,HIGD1AP2,0.01739630551478922,0.01739630551478922,5
rna_module_008,ONECUT2,0.017385981113247226,0.017385981113247226,6
rna_module_008,KRT127P,0.017365064174164002,0.017365064174164002,7
rna_module_008,AP3B2,0.017347796989021294,0.017347796989021294,8
rna_module_008,SAPCD2,0.017347708185439306,0.017347708185439306,9
rna_module_008,TNFSF12,-0.017328830519421967,0.017328830519421967,10
rna_module_008,AC087885,0.017278817127502552,0.017278817127502552,11
rna_module_008,LHFPL4,0.01724926822393632,0.01724926822393632,12
rna_module_008,TIGD3,0.017243981375766146,0.017243981375766146,13
rna_module_008,ST8SIA3,0.017171982959273708,0.017171982959273708,14
rna_module_008,SIX4,0.0170408386485038,0.0170408386485038,15
rna_module_008,PDZD4,0.016916969557311055,0.016916969557311055,16
rna_module_008,TMEM198,0.016838852042824978,0.016838852042824978,17
rna_module_008,PNPP1,0.01679700325151173,0.01679700325151173,18
rna_module_008,PHF21B,0.016782864585541794,0.016782864585541794,19
rna_module_008,CHRNB2,0.016687437186135714,0.016687437186135714,20
rna_module_008,XKR7,0.016654738761156435,0.016654738761156435,21
rna_module_008,SCG3,0.016638202960094477,0.016638202960094477,22
rna_module_008,CELSR3,0.016626187971707795,0.016626187971707795,23
rna_module_008,BCL11B,-0.01661700613315619,0.01661700613315619,24
rna_module_008,INSM2,0.01658741654386114,0.01658741654386114,25
rna_module_009,GRIK2,0.020996355649235483,0.020996355649235483,1
rna_module_009,OPRM1,0.020979225101063516,0.020979225101063516,2
rna_module_009,HCN2,0.02054161943207996,0.02054161943207996,3
rna_module_009,STX1A,0.020392162184922576,0.020392162184922576,4
rna_module_009,SLC12A5-AS1,0.020340319013621058,0.020340319013621058,5
rna_module_009,MIR204,0.02032062628918385,0.02032062628918385,6
rna_module_009,MT3,0.020217899194390893,0.020217899194390893,7
rna_module_009,SRRM4,0.020050387639330515,0.020050387639330515,8
rna_module_009,LINC02155,0.019852266009302733,0.019852266009302733,9
rna_module_009,CABP1,0.019700629417013022,0.019700629417013022,10
rna_module_009,HCRTR2,0.01967699717563786,0.01967699717563786,11
rna_module_009,NPM1P13,0.019596885864288444,0.019596885864288444,12
rna_module_009,IFNWP9,0.019586548189407502,0.019586548189407502,13
rna_module_009,SPTBN4,0.01955278134552222,0.01955278134552222,14
rna_module_009,CD8B,0.019520151098848526,0.019520151098848526,15
rna_module_009,NIM1K,0.01949956861657522,0.01949956861657522,16
rna_module_009,RN7SL726P,0.019477137567114416,0.019477137567114416,17
rna_module_009,AL592078,0.01938895368843702,0.01938895368843702,18
rna_module_009,AC112482,0.019350755231432103,0.019350755231432103,19
rna_module_009,GRM2,0.01932495903131591,0.01932495903131591,20
rna_module_009,AC106794,0.019279394510848372,0.019279394510848372,21
rna_module_009,UBL4B,0.019201039853613204,0.019201039853613204,22
rna_module_009,AC107958,0.019185679195637483,0.019185679195637483,23
rna_module_009,SUCLA2P2,0.019183656242416535,0.019183656242416535,24
rna_module_009,KCNC2,0.019162798737683433,0.019162798737683433,25
rna_module_010,MZT1,0.020478186917460478,0.020478186917460478,1
rna_module_010,OR4K3,0.019181796804031214,0.019181796804031214,2
rna_module_010,AL158847,0.01889321994786247,0.01889321994786247,3
rna_module_010,IGHV3-41,0.01878630970530815,0.01878630970530815,4
rna_module_010,ONECUT1,0.018359554655533756,0.018359554655533756,5
rna_module_010,RPL14P6,0.018280350668916496,0.018280350668916496,6
rna_module_010,OOEPP1,0.01818882290127147,0.01818882290127147,7
rna_module_010,AL445604,0.01813617558330837,0.01813617558330837,8
rna_module_010,AL109941,0.01802396703829268,0.01802396703829268,9
rna_module_010,LINC02339,0.017804792320313886,0.017804792320313886,10
rna_module_010,AL136972,0.01767894658043392,0.01767894658043392,11
rna_module_010,ZNF561-AS1,-0.017648274408361187,0.017648274408361187,12
rna_module_010,NKX2-2,0.01746331307693619,0.01746331307693619,13
rna_module_010,RD3,-0.01734116347346682,0.01734116347346682,14
rna_module_010,AC010880,0.017314997763698967,0.017314997763698967,15
rna_module_010,PRDM13,0.017271111356434336,0.017271111356434336,16
rna_module_010,BORA,0.017242556303055562,0.017242556303055562,17
rna_module_010,RNA5SP73,0.017221574650523715,0.017221574650523715,18
rna_module_010,MIRLET7G,0.017077171522581126,0.017077171522581126,19
rna_module_010,AL354674,0.017068299392634326,0.017068299392634326,20
rna_module_010,MXD4,-0.01704918552104554,0.01704918552104554,21
rna_module_010,TRPV6,-0.01704802612873077,0.01704802612873077,22
rna_module_010,SHISA4,-0.01693130778747887,0.01693130778747887,23
rna_module_010,AC134698,0.01691511413839253,0.01691511413839253,24
rna_module_010,MFSD10,-0.016873080805734842,0.016873080805734842,25
rna_module_011,AC103564,0.024317807350740236,0.024317807350740236,1
rna_module_011,AC008805,0.02363659383471857,0.02363659383471857,2
rna_module_011,SLC35F3,0.023107864601836246,0.023107864601836246,3
rna_module_011,GFAP,0.022835825704595077,0.022835825704595077,4
rna_module_011,TDRD12,0.022627976131736522,0.022627976131736522,5
rna_module_011,MAPT,0.022232731653189085,0.022232731653189085,6
rna_module_011,SLC35F3-AS1,0.022135287990253803,0.022135287990253803,7
rna_module_011,ADRA2B,0.02201068215575896,0.02201068215575896,8
rna_module_011,LINC01114,0.02195162094360545,0.02195162094360545,9
rna_module_011,UNC5C,0.02191151109722832,0.02191151109722832,10
rna_module_011,LINC02135,0.021792964088059395,0.021792964088059395,11
rna_module_011,AC091114,0.021771275587915622,0.021771275587915622,12
rna_module_011,S1PR3,0.02175834790684472,0.02175834790684472,13
rna_module_011,LINC02116,0.02175037784544948,0.02175037784544948,14
rna_module_011,SHOX2,0.021707570713623024,0.021707570713623024,15
rna_module_011,HHIPL2,0.02166852668074761,0.02166852668074761,16
rna_module_011,IGKV1OR22-1,0.021648094843418696,0.021648094843418696,17
rna_module_011,AC067960,0.02163955014961473,0.02163955014961473,18
rna_module_011,RNA5SP525,0.02159081494745753,0.02159081494745753,19
rna_module_011,RN7SKP244,0.02159081494745753,0.02159081494745753,20
rna_module_011,RNU4ATAC2P,0.021590814947457522,0.021590814947457522,21
rna_module_011,RNU6-104P,0.021590814947457522,0.021590814947457522,22
rna_module_011,RNU6-1097P,0.021590814947457522,0.021590814947457522,23
rna_module_011,RNU6-451P,0.021590814947457522,0.021590814947457522,24
rna_module_011,OR13C3,0.021590814947457522,0.021590814947457522,25
rna_module_012,AFAP1L2,0.01932854128594822,0.01932854128594822,1
rna_module_012,APLP2,0.019121275936747065,0.019121275936747065,2
rna_module_012,LMX1B,0.01740062598822245,0.01740062598822245,3
rna_module_012,MTCO1P2,0.016999132519920614,0.016999132519920614,4
rna_module_012,HMGB1P32,0.01691758342548376,0.01691758342548376,5
rna_module_012,LINC02384,-0.016850526156263403,0.016850526156263403,6
rna_module_012,TRUB2,-0.01666787794448791,0.01666787794448791,7
rna_module_012,L1CAM,0.016392220683292002,0.016392220683292002,8
rna_module_012,GJA8,0.016254910622312595,0.016254910622312595,9
rna_module_012,RPL30P14,0.01622335041451538,0.01622335041451538,10
rna_module_012,GCAT,-0.016135513877644805,0.016135513877644805,11
rna_module_012,SP6,0.01612212293420042,0.01612212293420042,12
rna_module_012,NAT2,-0.016108328221249878,0.016108328221249878,13
rna_module_012,HOXD13,0.016103191155901836,0.016103191155901836,14
rna_module_012,HDAC7,0.016044187925506003,0.016044187925506003,15
rna_module_012,ICOSLG,0.01600175371111379,0.01600175371111379,16
rna_module_012,RPS4XP21,0.015939781708796907,0.015939781708796907,17
rna_module_012,SRPRA,0.015867207933820526,0.015867207933820526,18
rna_module_012,PLXNA4,0.015852114378207792,0.015852114378207792,19
rna_module_012,GLB1L2,0.015833428834020776,0.015833428834020776,20
rna_module_012,WNT2,0.01582749006328417,0.01582749006328417,21
rna_module_012,CTBP2P4,0.01581899650291646,0.01581899650291646,22
rna_module_012,AL357507,-0.01581524455454008,0.01581524455454008,23
rna_module_012,CACNA1H,0.015736887759954403,0.015736887759954403,24
rna_module_012,MRPL16,-0.01572699768018157,0.01572699768018157,25
rna_module_013,AC073614,0.021646962440063353,0.021646962440063353,1
rna_module_013,PIK3AP1,0.021449819993581337,0.021449819993581337,2
