module,feature,loading,abs_loading,rank_abs
protein_module_003,AGID00143,0.1209967674606024,0.1209967674606024,10
protein_module_003,AGID00095,0.11645101593496086,0.11645101593496086,11
protein_module_003,AGID00047,0.11512539269550041,0.11512539269550041,12
protein_module_003,AGID00028,0.11401158125260542,0.11401158125260542,13
protein_module_003,AGID00156,0.11308174488711313,0.11308174488711313,14
protein_module_003,AGID00531,0.11279650362018387,0.11279650362018387,15
protein_module_003,AGID00082,0.11185962684019092,0.11185962684019092,16
protein_module_003,AGID00559,-0.110120065816218,0.110120065816218,17
protein_module_003,AGID00758,0.10960331150769873,0.10960331150769873,18
protein_module_003,AGID00068,0.103371544362087,0.103371544362087,19
protein_module_003,AGID00293,-0.10290783950923174,0.10290783950923174,20
protein_module_003,AGID00284,0.10116342723434278,0.10116342723434278,21
protein_module_003,AGID00212,-0.10105976753756377,0.10105976753756377,22
protein_module_003,AGID00183,0.09808946645140654,0.09808946645140654,23
protein_module_003,AGID00062,0.09803995666826702,0.09803995666826702,24
protein_module_003,AGID02194,0.09633520882391002,0.09633520882391002,25
protein_module_004,AGID02179,0.12909877039591489,0.12909877039591489,1
protein_module_004,AGID00207,0.1282831983515902,0.1282831983515902,2
protein_module_004,AGID00274,0.12474548500595994,0.12474548500595994,3
protein_module_004,AGID00110,0.12429780862424411,0.12429780862424411,4
protein_module_004,AGID00283,0.11305513006212603,0.11305513006212603,5
protein_module_004,AGID00512,0.11230124828034185,0.11230124828034185,6
protein_module_004,AGID00255,0.11172990389833606,0.11172990389833606,7
protein_module_004,AGID02145,0.111074774795217,0.111074774795217,8
protein_module_004,AGID00305,0.10924950247972506,0.10924950247972506,9
protein_module_004,AGID00504,0.10878851761559492,0.10878851761559492,10
protein_module_004,AGID00259,0.10850457632071828,0.10850457632071828,11
protein_module_004,AGID00076,-0.10575777751230586,0.10575777751230586,12
protein_module_004,AGID00328,-0.1046218574651213,0.1046218574651213,13
protein_module_004,AGID00263,0.10250431152360046,0.10250431152360046,14
protein_module_004,AGID00070,0.09610140283616153,0.09610140283616153,15
protein_module_004,AGID00426,-0.09489355526197071,0.09489355526197071,16
protein_module_004,AGID00289,0.0942443892663607,0.0942443892663607,17
protein_module_004,AGID00015,-0.08988487574367188,0.08988487574367188,18
protein_module_004,AGID00460,0.08984951528679627,0.08984951528679627,19
protein_module_004,AGID00078,-0.08967135925658203,0.08967135925658203,20
protein_module_004,AGID00095,-0.08888175154737994,0.08888175154737994,21
protein_module_004,AGID00299,0.08847230900937515,0.08847230900937515,22
protein_module_004,AGID00422,-0.08833550810556659,0.08833550810556659,23
protein_module_004,AGID00437,-0.0880579298734859,0.0880579298734859,24
protein_module_004,AGID00391,-0.08653079164128209,0.08653079164128209,25
protein_module_005,AGID00205,0.1451730695560253,0.1451730695560253,1
protein_module_005,AGID00217,0.13107412640306462,0.13107412640306462,2
protein_module_005,AGID00088,0.1217734315488356,0.1217734315488356,3
protein_module_005,AGID00374,-0.1189300697454565,0.1189300697454565,4
protein_module_005,AGID00424,-0.11797967889638625,0.11797967889638625,5
protein_module_005,AGID00363,0.11754399027066784,0.11754399027066784,6
protein_module_005,AGID00261,0.11357461537673419,0.11357461537673419,7
protein_module_005,AGID00324,0.11090961852875973,0.11090961852875973,8
protein_module_005,AGID00154,-0.10470274681694791,0.10470274681694791,9
protein_module_005,AGID00430,-0.10457591624251768,0.10457591624251768,10
protein_module_005,AGID00175,-0.10393883073942208,0.10393883073942208,11
protein_module_005,AGID00367,-0.10063493176798133,0.10063493176798133,12
protein_module_005,AGID00386,0.09957518439376352,0.09957518439376352,13
protein_module_005,AGID00353,0.09954143930155859,0.09954143930155859,14
protein_module_005,AGID00230,0.09887309305744492,0.09887309305744492,15
protein_module_005,AGID00070,-0.09511297180181022,0.09511297180181022,16
protein_module_005,AGID00213,0.09501793314335577,0.09501793314335577,17
protein_module_005,AGID00045,-0.09480248682063756,0.09480248682063756,18
protein_module_005,AGID00210,0.09440989417882968,0.09440989417882968,19
protein_module_005,AGID02167,-0.09386764973048686,0.09386764973048686,20
protein_module_005,AGID00090,0.0923497631922077,0.0923497631922077,21
protein_module_005,AGID00220,0.09221128111242663,0.09221128111242663,22
protein_module_005,AGID00351,0.0900788039440865,0.0900788039440865,23
protein_module_005,AGID00182,-0.0898315812869609,0.0898315812869609,24
protein_module_005,AGID00266,-0.0893248006590834,0.0893248006590834,25
protein_module_006,AGID00029,0.15724922901614538,0.15724922901614538,1
protein_module_006,AGID00339,-0.1344798491598554,0.1344798491598554,2
protein_module_006,AGID00402,-0.13060462111372725,0.13060462111372725,3
protein_module_006,AGID00017,-0.11727844339345013,0.11727844339345013,4
protein_module_006,AGID00031,-0.11648857879285963,0.11648857879285963,5
protein_module_006,AGID00623,-0.1147893438158678,0.1147893438158678,6
protein_module_006,AGID00417,0.11385295400489467,0.11385295400489467,7
protein_module_006,AGID00109,-0.11205843435277679,0.11205843435277679,8
protein_module_006,AGID00053,-0.10913349600346242,0.10913349600346242,9
protein_module_006,AGID00223,0.10815623595467373,0.10815623595467373,10
protein_module_006,AGID00335,0.10648265334101016,0.10648265334101016,11
protein_module_006,AGID00167,0.10341789590125719,0.10341789590125719,12
protein_module_006,AGID00241,0.10271038472553742,0.10271038472553742,13
protein_module_006,AGID00405,0.1015787141676587,0.1015787141676587,14
protein_module_006,AGID00331,0.10133911870446988,0.10133911870446988,15
protein_module_006,AGID00157,-0.10013709982932222,0.10013709982932222,16
protein_module_006,AGID00179,-0.09882578946043506,0.09882578946043506,17
protein_module_006,AGID00236,-0.09714464323362117,0.09714464323362117,18
protein_module_006,AGID00018,0.0961529932391732,0.0961529932391732,19
protein_module_006,AGID00288,-0.09447918061545463,0.09447918061545463,20
